lib,loops,diff1,diff2,diff3,diff4,diff5,diff6,diff7,diff8,diff9,diff10,mem1,mem2,mem3,mem4,mem5,mem6,mem7,mem8,mem9,mem10
Q,10,10580,9179,7151,8823,8312,6888,7708,7198,7169,6656,7038,6795,6617,7616,7080,6358,7151,7095,7246,7266,71.87,88.08,111.26,132.29,187.58,166.6,221.57,49.47,105.49,160.38,129.68,184.45,173.96,228.92,215.25,269.94,324.69,379.42,434.13,66.45
Q,100,60259,47248,46366,41669,43085,77010,43124,62896,44084,43855,41937,43595,43150,48379,42348,57214,79335,59311,42374,42708,204.55,549.94,351.69,520.72,749.23,131.1,579.97,546.16,783.25,282.89,465.16,697.55,916.3,397.85,561.28,556.08,206.01,388.77,633.37,865.59
Q,500,240729,236822,230548,290503,305602,236637,255933,235889,231971,239934,241795,229963,286453,304666,236143,252061,237492,258702,239005,252302,1012.99,973.76,1014.86,781.34,1026.59,935.41,897.86,1091.39,200.8,1014.99,971.63,1014.72,779.11,1025.62,939.86,895.69,1090.26,1130.29,958,899
Q,1000,508648,514680,631622,639104,638834,630071,607228,644737,579340,667754,638918,616605,631901,609391,635933,578084,637228,564107,625338,625644,1821.23,1773.79,1682.79,1598.84,1638.4,1791.22,1612.69,1759.6,1485.78,1697.33,1588.47,1638.39,1796.79,1557.94,1765.32,1498.56,1730.86,1392.98,1637.97,1798.29
